subnum,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,age,gender,gender_3_TEXT,tech,comments,hitId,assignmentID,workerId,country,confirmation_code
171,12/23/20 8:34,12/23/20 8:42,0,100,475,1,12/23/20 8:42,R_2YQZXOdZk8JDYtR,anonymous,EN,0,0,11.167,0,,,,,,,,"26C1591,25C1431,16C861,22C1224,25C1225,20C830,19C1078,20C796,21C1032,17C1031,16C860,24C1035,15C959,18C971,24C896,23C1259,23C775,22C842,15C869,18C776,END","7C1448,11C1875,10C2057,9C1117,2C1293,9C1341,12X3108,3C2093,3C1024,6C1496,4C1397,14C1195,10C1053,13C1146,5C1704,1X2874,14C1493,8C1211,5C2300,1C2020,END","10X3200,22C1477,8X4525,26X5036,13X3651,19C1598,14C2594,25C1344,2C1714,18C1420,5C2098,21C1122,6X3278,24C1146,3C1298,20C1012,7C1565,17C1322,12X2428,15C1060,END","14C2368,19C1074,4C1180,17C1061,11C1573,22C1133,4C1483,18C1190,7C1597,16C1449,7C1291,17C1108,2C1290,21C1196,9C1089,23X1873,10C1164,25C1212,12X2645,26C1668,14C1739,24C1019,6X3142,26C2141,3C1460,24C1765,8C1532,19C1085,2C1149,15C1001,13X2491,16C1704,1X3028,20C1236,9C2602,21C1311,5C1685,20C1036,10C1571,22C1037,END","19C984,16C995,22C861,17C1406,26C1066,16C1085,21C914,24C1081,26C1211,15C878,22C1004,26C992,17C1051,26C964,19C1068,18C1259,25C945,15C1444,22C1070,24C1732,15C1176,25C821,23C1146,21C916,17C861,18C1307,23C1057,18C1273,20C946,25C737,17C1430,20C875,16C836,23C693,18C885,20C1049,21C792,24C983,19C1068,24C701,END","14X2415,20C1264,4C2155,22C1542,12C2892,23C1725,13C1244,25C1317,2C1267,15C950,9C1708,16C1397,1X2829,19C1210,8C1462,26C1019,6C2178,21C1387,3C1700,17C1165,END","2C1628,19C899,5C1555,16C1194,10X2278,22C971,1X4026,21C1203,14C1701,20C1236,9C1937,23C1451,12X2307,24C1278,8C2227,24C1037,13C1365,15C1324,4C1309,25C1342,3C1689,17C1292,8C1611,18C1316,11C2645,18C1554,1X3102,20C1312,3C1566,16C1326,6C1850,15C1644,11C1640,23C994,10C1726,25C1565,7C1363,22C1108,2C1549,26C1414,END",,,,,,,,,,,,,,,3.194,11.794,36.494,5,55,2,,none,That was a challenging one...when you get into abstracts/concrete.,,,anonymized,,8404727
172,12/23/20 8:37,12/23/20 8:42,0,100,317,1,12/23/20 8:42,R_UtInVikWdE1T7jz,anonymous,EN,0,0,10.42,0,,,,,,,,,,,,,,,"18C990,25C725,21C697,15C766,21C741,15C635,26C989,19C723,20C854,23C912,16C876,22C1185,26C907,23C1289,20C867,22C702,24C858,19C709,16C640,17C635,END","3C1199,11C1465,5C857,1X1874,7C1362,10C801,3C771,1C965,13C1087,2C1140,14C836,13C1783,9C814,4C1087,14C1385,12C1736,8C1042,4C1388,6C1161,12C806,END","2C1319,17C849,8C810,18C859,4X1782,25C1041,1C749,20C820,14X1085,19C754,13C1065,22C676,9C1031,21C952,3C878,15C666,6C764,26C738,11C647,23C905,END","3C1199,24C714,5C846,20C790,2X1209,26C930,12C752,21C672,4X1301,17C672,9C828,19C709,9X1065,15C733,1C1050,19C748,7C826,17C730,6C663,23C738,7C760,26C824,11C799,21C728,13C998,20C1061,1C1053,22C764,8C814,25C1044,14C991,22C998,14C997,16C1173,12C1026,23X1611,5C793,15C913,10C943,18C796,END","25C728,19C704,17C771,22C827,21X1250,24C841,18C653,20C642,26C662,19C722,25C657,19C709,16C793,24C834,16C715,18C752,18C671,26C650,25C740,24C1098,25C686,20C857,17C667,21C967,17X1213,23C789,17C740,16C642,23C1004,15C795,23C772,15C883,20X1287,22C874,18C944,26C719,24C815,15C934,22C724,21C947,END","13X2511,15C1800,8C1662,21C934,10X1947,26X2006,12C2584,17C600,4C1154,24X1466,9C1484,22C1014,1C802,19C757,7C973,16C796,6X1561,23C1151,2C1161,18C911,END","11C1487,24C840,7C1170,16C869,4C879,20C836,14C1165,19C859,12X1244,18C934,3C963,22C618,6C957,24C796,8C921,16C809,7C1046,17C727,12X1243,26C1453,10C1358,21C1043,2C1411,18C763,4C1208,26X1927,1C1361,22C869,13C839,25C865,10C892,21C899,9X1438,23C1517,5C1807,15C740,5C794,20C705,11C813,15C776,END",,,,,,,,2.765,9.301,17.197,3,40,1,,,no issues,,,anonymized,,6608936
173,12/23/20 8:32,12/23/20 8:42,0,100,569,1,12/23/20 8:42,R_R34pUuhN5aJn1MR,anonymous,EN,0,0,8.678,0,,,,,,,,,,,,,,,"23X4832,16X4107,24C1274,19C850,20C869,24C932,20C1595,19C744,23C898,16C813,26C1060,25C1138,18C1353,15C1170,25C866,26C1749,22C845,17C1197,18C1289,21C881,END","1C1895,12X2473,11C2109,14C1234,10C932,6C1602,6C810,9C1158,13C1108,7C1010,8X3421,5C1290,12C2130,3C1437,2C1282,5C963,4C1017,14C1801,1C974,8C1969,END","14C2528,21C1177,3X2004,15C2459,12C4964,20C1324,1C1172,19C954,9C1301,22C1410,4C1736,18C1185,7C958,16C843,5C691,25C1786,13C2042,26C1796,8C1157,24X2252,END","5C2168,25C1526,6C2634,21C1204,14C9348,20C4010,12C3093,21C4233,13C1875,15C1450,7C3197,26C2589,10C2354,19C982,12C2059,16C1260,8C2833,22C1980,9C2918,16C841,11C1764,17C1134,4C1681,18C1884,8C1619,24C1285,3C1292,23C1074,2C1297,15C1889,13C1813,26C1749,1C1105,25C1372,3C1595,18C1664,7C1616,19C1321,2C1605,24C2102,END","15C1264,26C2265,17C738,24C1005,16C803,22C1362,15C95666,15C886,26C1397,23C2587,21C1025,18C833,23C1845,24C985,17C1021,17C762,24C1532,25C924,19C1818,20C3428,26C1758,21C1040,22C1451,19C1362,16C1088,16C897,21C2801,25C997,24C1697,18C901,25C978,21C1172,19C874,15C1835,16C3921,18C864,20C1249,23C2202,22C1853,20C1819,END","13C5344,15C892,12C3257,17C884,5C1318,23C3636,4C3930,19C1085,3C3325,22C2309,6C6291,26C2633,8C2587,25C905,2C2146,21C1476,9C3224,20C1985,14C6419,18C1801,END","10C3256,15C981,13C5945,18C733,7C1437,19C1233,11X3326,24C1539,13C3344,15C1507,11X3601,20C921,6X2395,21C1090,12X5414,25C1243,4C2386,23C8417,3C2913,17C834,1C1283,22C1346,5C1139,18C945,8C987,19C1076,2C1898,21X1601,5C1651,22C2181,4C1027,23C1898,9X1701,26X2097,3C1133,16C1349,14C1356,16C952,12X1690,25C1386,END",,,,,,,,3.007,9.161,15.691,4,31,1,,,"No, but have a nice day!",,,anonymized,,6569107
174,12/23/20 8:36,12/23/20 8:42,0,100,371,1,12/23/20 8:42,R_2rBJtQIH1MPm34g,anonymous,EN,0,0,27.521,0,"23X3664,19X1828,18C1945,19C1154,25C3418,22C5307,23C631,21C1056,21C468,26C544,16X971,15C912,16C457,24X1014,24C493,26C765,17X985,20C683,15C456,20C345,END","2X1482,9X1266,1X2342,2C560,6C433,3C510,13X1175,10C612,7X1619,5C546,4C403,14X1033,8C575,12C521,8C51686,11C611,7X845,1C532,14X1079,13C509,END","9C812,18X1113,7C505,15C335,11X945,20X1030,8X1093,17X1001,13X1212,24C554,12C557,25C497,4X1073,16C540,6C500,22X1275,5X1228,23X1813,2X1629,21X1586,END","5X6450,16C377,4C373,20C298,10X999,22C803,10C555,25C611,12C493,21C478,8C336,19X1038,6C1523,26X1237,3X995,15C430,6C301,22X1257,14C863,17X12896,14X964,23C501,7X1045,19C604,7C422,18C356,11X1198,24C289,1X337,16C37,2C26,21X123,9C19,25C34,8C43,23C15,4X140,17C32,13X168,15X191,END","18X1779,23X210,24C25,21C22,15X174,20X257,26C127,22C5,25C9,16X144,17C5,22C124,25X240,20X117,17C125,26C134,25C26,20X174,18X247,16C2,19C4,18C61,19X264,21C127,25C61,23C26,15X199,20C49,15X283,17C74,24X143,15X151,19C33,26X174,22C24,16X169,24X179,23C47,21C34,22C43,END","13C514,16C37,11X232,19C6,10C3,21X116,2C60,23C34,3C42,22C6,8X135,25X178,1C27,17C128,14C3,26X150,6C24,20X163,4X113,18X157,END","12C900,16C69,9C15,22X131,9X207,19X248,4C137,25X250,1C12,23C26,14X94,17C45,5X200,18X178,11C26,15X263,13C15,25X138,2C13,18C117,14X237,24X129,6C3,20X121,10C67,26X129,1C22,24X258,5C15,17X192,8C36,19C47,7X131,21C42,8X194,22X148,3C33,16X238,3X113,23C40,END",,,,,,,,,,,,,,,,,,,,,,3.425,15.561,21.982,5,33,2,,,its very useful,,,anonymized,,6699701
175,12/23/20 8:37,12/23/20 8:42,0,100,321,1,12/23/20 8:42,R_2c1HsH5XE6zlAP9,anonymous,EN,0,0,7.045,0,,,,,,,,"22C1522,16C892,23C962,24C806,24C706,20C777,16C773,21C735,17C726,25C813,26C1150,20C678,19C891,15C1020,18C694,17C842,21C794,22C859,18C994,25C728,END","8C1578,13C972,9C838,2X1351,14C929,8C905,6C1013,3C906,10C793,12X1669,13C2358,3C802,7C1059,4C847,5C766,1X1509,7C1351,2C934,11C1387,10C950,END","9C1479,15C836,1X2161,16C797,8C1937,24C977,14C916,26X1661,5C3109,25C1019,2C869,17C842,10C829,21C715,3C783,18C813,13C877,23C1932,4C793,19C782,END","13C822,23X1718,4C825,25C753,12X1278,21C1211,5C760,18C700,3C878,17C648,13C891,19C995,14C794,24C720,7C684,22C1019,14C984,23C952,6C1046,20C697,8X1871,26C826,1X2269,26C1389,9C1124,15C719,11C1160,16C863,2C816,21C815,3C961,17C749,12X1376,15C1645,10C766,24C697,6C887,18C672,7C888,16C822,END","19C1414,25C709,20C806,16C841,24C689,23C1036,20C836,22C899,18C792,20C773,25C733,20C725,25C843,16C731,22C923,26C947,18C737,24C858,15C783,26C806,21C845,23C923,26C950,18C674,21C687,19C677,16C623,17C636,19C669,17C721,25C634,15C692,21C707,18C769,23C905,22C715,23C866,17C731,24C789,15C879,END","4C1647,24C1059,1C1290,21C1064,7C1544,23C1338,11X1855,20C1104,3C999,18C1165,13C825,25C1084,12C801,16C905,5C866,17X2331,9C1257,15C1509,14C1333,22C886,END","4C914,23C1057,7C1129,25C1720,6C1154,24C764,7C1651,16C1209,10C1046,18C1375,13C1223,15C1130,13X1824,17C993,8C1169,23C1032,9C1624,22C1167,5C772,24C1145,11C1937,16C898,5C1073,20C821,14C1019,15C961,2C1147,19C810,4C1299,18C1172,1X1713,26C2584,3C1018,17C1107,11X1703,22C993,14C2000,21C867,12C1101,21C766,END",,,,,,,,,,,,,,,2.381,9.044,11.461,4,48,1,,,no,,,anonymized,,6884821
176,12/23/20 8:38,12/23/20 8:43,0,100,277,1,12/23/20 8:43,R_2EbduGssNZPRNqI,anonymous,EN,6.865,6.865,7.079,1,,,,,,,,"26X1423,24C735,15C686,20C561,18C635,22X979,23C1006,17C575,21C721,22C924,19C593,26C1399,25C733,16C610,20C594,23C977,16C983,21C822,15C829,19C626,END","11C1503,10C864,2X1295,12X1915,5C1565,4C778,1X1898,13C1715,10C643,3C1058,9C1051,14C750,4C1617,14C1157,2C1337,8C941,8C703,5C887,7C922,6X1233,END","2C1776,18C1138,8X1333,17C692,3C897,15C779,13C903,16C696,6X1457,25C921,12X1015,26X1778,7C823,21C1012,14C962,19C708,9C1142,22C938,1X2168,24C849,END","3C1384,22C735,9C921,19C670,10C796,18C773,6X1778,20C765,1X1755,19C1686,2C1774,15C717,7C801,22C789,12X1493,20C652,13C1117,23C1261,3C2007,25C722,10C1151,26C868,5C831,25X1491,5C1209,26C891,2C1490,16X856,4C1363,17C1498,11X1574,23C1150,8C1050,21C757,14C832,24C869,11X1409,18C773,9C799,16C644,END","25C896,19C704,17C692,16C600,25C625,26X1055,16C715,19C827,21C716,24C886,23X1306,17C666,17C619,22C686,19C777,21C632,18C672,16C804,20C831,26X837,22C783,24C704,25C724,15C732,23X1234,23C742,18C712,15C613,20C666,24C745,17C700,20C588,23C1060,26X928,15C636,21C708,24C672,18C1126,22C745,16C677,END","1C864,18C830,3C1073,26C890,7X1325,15C898,2C1094,16C886,13X1354,24C801,12C831,21C750,8C788,25C797,5X1263,20C798,14C1012,23C1181,9X1450,17C871,END","5C1471,26C903,4C1081,25C905,10X1249,25C903,1C1069,17C694,11C1221,16C785,3C736,20C705,9C1139,20C784,2C1132,19C711,12C753,22C723,13X1394,15C835,8C1097,18C628,3C684,24C807,14X1260,26C719,12C641,18C798,6C878,23C1130,14X1116,16C729,7C1174,22C790,6C1235,15C603,10X1263,21C810,7C762,23C1053,END",,,,,,,,,,,,,,,1.801,3.226,8.189,4,35,3,Prefer not to say,,,,,anonymized,,678683
177,12/23/20 8:37,12/23/20 8:43,0,100,314,1,12/23/20 8:43,R_2zUTvOt8S9sdSyR,anonymous,EN,0,0,7.78,0,"15C1751,17C866,25C770,19C701,20C970,21C763,25C851,18C599,17C549,26X3568,26C819,24C1057,23C883,22X1388,18C876,24C1009,16C780,19C970,22C1135,16C843,END","1X2909,13C1834,6C1297,3C1367,6C993,4C739,7C636,14C619,10C635,5C662,2X1140,4C867,7C661,12X1348,8C1191,13C668,11X1245,14C1407,9C1289,10C754,END","14X1414,20C1623,3X2087,19C1343,4C1693,25C1016,8C970,17C923,11X1610,24C890,13C587,22X1079,5C869,15C977,7C2772,23X2761,12C1280,18C788,6C1002,26X1411,END","4C1036,19C1128,2C1042,17C778,8X1268,15X1032,11X874,18X842,9X1016,16X854,14X1435,23C1050,12C2114,15C836,2X3883,20C835,10C794,23C851,13X1237,25C64,1X695,16X190,3X2658,21C1429,8X2086,22C1192,7X1668,17C684,1X1151,24X654,3C642,26X418,5C165,21C698,13X919,24X1389,9C454,22X1477,6C797,18X1183,END","21C1394,15C618,19C835,26C685,26C581,26C485,23X1150,16C834,20C675,20C597,18C525,20C715,15C776,18C582,19C684,23C948,15C738,18C516,26C3,22X346,25C85,22X113,17X173,23X38,24C104,17X253,22C168,19X975,25C916,23C1257,19X1633,16X3105,21C1576,25C826,16C832,17C1010,21C931,24C1376,15C770,24C1003,END","6X1821,15X1522,11X1453,23C900,10X1347,18X1111,3C1146,26C962,1X1699,17C1604,4X1581,21C938,7C1034,24C780,8X1197,16C588,14X3581,22C955,13X1930,20X1336,END","13C1647,15X1150,13C1312,18X1628,8X1460,15X1667,4X2304,21C1025,1C1010,22X3701,11X671,24X1240,14X3794,20X1040,4X1327,19X2500,3C835,18X1211,12C637,23C574,5C628,16X997,6X1327,26X1040,5C549,19X2802,10X1326,25C2910,2X1150,22C499,7C445,17X950,9C24,23X419,11C450,16X1061,1X1160,21C581,12X2165,24C828,END",,,,,,,,,,,,,,,,,,,,,,2.512,11.219,11.973,6,30,1,,,,,,anonymized,,9759571
178,12/23/20 8:30,12/23/20 8:43,0,100,790,1,12/23/20 8:43,R_cOdriUpwBIuoRjz,anonymous,EN,0,0,9.386,0,,,,,,,,,,,,,,,,,,,,,,"21X19858,25C158,16C2137,21C2768,22C3350,22C1827,25C1609,23C3730,17C1319,19C1237,15X3380,19C1822,26C1584,26C1628,18C1330,16C1290,15C1351,24X2744,20C1650,20C1070,END","12X6016,14X2418,14C1191,9C1411,5C2017,7C1580,8C1463,11X4754,3C2778,6X3036,1C520,2C2413,10C1898,12X3946,2X3369,4C2458,4C1198,10X5385,3C4432,13X5992,END","5X6566,20C2498,14X8670,21C8731,10X3367,15C1729,6X2369,26C2339,7C1345,19C1379,2C3138,16C1578,4C1632,18C1368,9X4752,23C3102,13X4271,22X3553,8X3068,25C2910,END","5C2151,15C10507,9C1922,16C1365,4C1497,24C2464,7C1626,20C1253,13C3269,21X4009,11X4413,16C1222,12X6268,18C2239,1X4991,21X2543,14X2441,26C1713,13X4186,19C1528,5C1568,25C1650,14X3149,18C2930,11C2764,26C2944,2C4529,17C9078,10X8887,15X3576,3X3163,22X3575,6C2572,23C2188,4C1322,17C1529,8C3752,22C1588,1X3029,24C1448,END","25X5482,26C2329,15X3151,18C2294,20C1744,24C1538,24C1435,18C1509,15X5143,21X9395,21C1645,25C6829,17C4367,24C5151,23C9867,23C1731,23C1232,19C19589,22C2015,20C1605,22X2479,17C2041,16C1302,15C1178,22C4704,22C1076,19C1309,17C1629,26C9305,21C1435,19C1197,18C1188,25C1279,16C1229,26C11859,17C1250,20C3038,19C990,16C1208,26C4206,END","1X3170,25C2234,9C2476,15C1370,11X4549,18C1228,14C3028,20C1249,4C2369,16C6088,5C7998,24C1753,8C3112,19C1153,13C1648,23C1272,3X14710,21C1628,2X9408,22X3074,END","2C2129,18C4531,1X3088,23C1279,8C17538,17C1249,4X12128,20C1786,6C5468,26C2692,14C1622,25C1314,5C1851,16C1120,5C1276,22C1849,10C1530,19C1347,3X4658,15C2096,9X8515,24C2033,13X5618,24C1316,12C1508,25C7465,10C2218,21C1727,12C1230,15C1293,7C2921,20C1254,4C1079,18C1151,1X2834,21C1334,11C5884,26C1268,8C3003,16C1111,END",3.316,6.423,9.709,2,35,2,,,,,,anonymized,,4970332
179,12/23/20 8:37,12/23/20 8:43,0,100,348,1,12/23/20 8:43,R_24wkGRUBcCHITgR,anonymous,EN,0,0,15.135,0,,,,,,,,,,,,,,,,,,,,,,"24C821,19C706,15C700,20C664,16C765,20C644,18C661,21X1224,25C767,26C1051,18C891,23C872,25C668,22C833,24C746,23C855,22C730,17C714,16C621,17C672,END","12X2095,6C1164,13X1679,3C1359,3C823,7X1571,9C1934,1C1127,6X1985,11X2110,12X1614,8C1338,10C972,13X1164,5C1027,5C688,4C1068,11C1220,14C1128,2C1313,END","4C1240,18C1213,1X1563,19X1926,10X1566,26C1554,8X1768,24X2557,6C1432,17C1472,7C1386,20X1232,12X1399,21C1105,3C1088,16C1192,9C1206,25C952,11C1323,22C1213,END","2C1054,25X1816,12X1329,17C1150,10C1184,22C910,5C966,20C909,6X1598,23C1363,14X1385,19C1652,3X1307,18C1065,4C1119,17C871,11C976,19C963,5C966,21C989,9C1094,26X1713,1C1589,25C1109,1C1049,15C934,11C1022,15C778,7C837,24C885,3C973,18X1616,13C1238,26X1291,12X1522,21C882,8X1237,16C1210,9C966,24C898,END","18C987,20C792,19C626,23X896,22C790,20C855,24C789,20X783,15X1410,20C980,25C747,24X907,18C738,25C821,18C829,17C839,21C708,23C857,26C641,21C812,22X1000,26C1025,16C599,24C881,26X1160,18C866,19C623,25X767,15C844,23C851,16C735,22C750,19C730,15X1167,17X891,16C695,17C616,21C777,24X1060,25C766,END","8C1036,18C798,5C963,16X1517,14C1114,26C1047,4X1428,19X1455,11X1267,22C570,2C96,25X1081,12C713,21C788,10C916,17X1129,1X1369,15X968,6C129,24C1500,END","9C831,22C781,3X1306,20C1045,12C810,25X1255,8C743,15X1325,3C723,18X1507,5C1117,17X1847,8X1349,19C987,12C900,24C796,2X1353,18C651,1C832,26X1103,11C687,19C874,14X1032,21X1107,6X1037,22X1160,4X1614,17C1089,2C1287,26C946,7X1194,23C1318,13C714,16C1107,11X1216,24X1261,10C597,16C979,6C662,23C90,END",3.151,8.132,19.619,3,50,1,,,,,,anonymized,,380914
180,12/23/20 8:35,12/23/20 8:43,0,100,515,1,12/23/20 8:43,R_2tEeSw9uU4IfSw4,anonymous,EN,0,0,8.091,0,,,,,,,,,,,,,,,,,,,,,,"17C13948,21C15327,24X3189,17C2951,25C1568,21X5629,20X9050,15C1588,22X4588,19C2230,18X2419,16C1398,16C1099,19C1018,25C1810,20X2728,26C2030,23C1250,24C1288,23C1069,END","11C1449,8C1550,12C920,9C1205,4X2503,5C909,6X2168,13X1529,10C1010,3X1970,1C608,11X1829,8C1540,9C1019,14C959,7X1880,4X2288,7X1688,2X2428,5C688,END","7C2023,15C1250,6C1249,16C2909,14C1770,26C1908,12X2810,25X2588,5C1189,24C1189,11C77,22X2798,8X3409,20C1090,10C1499,23X1962,3X2415,17C1319,1C1469,18X2469,END","7X7949,24C2330,8X2419,22X2330,10X1229,26C2070,12X2668,19C1800,10C1818,16C1310,14X2449,18C1288,8C1369,21X1969,5X2288,17X2230,1C1549,19C1408,11X2329,17C40,6X2898,25X2148,9X1340,15C158,5X2300,23C99,3C867,26C209,2C608,21C299,9X1378,22X1368,1C299,23C179,3C829,20X2208,13C649,15C309,4X1179,16X2361,END","24C1338,16C1749,20X2538,26X1539,23C190,24C889,17C1508,17C1389,20X2089,25C1409,21X2334,16C1083,22X2368,26X2489,23C119,25C191,21X2259,15X1249,16C1909,15C1424,23X2674,19C2101,25C3184,19C1983,23X2209,19C1288,19C1048,18C1129,17C1287,21C1149,20X2128,17X1908,26X1529,22X2232,22C1805,18C1349,15C1469,26X2509,24C1190,18C1289,END","2C4958,17X2149,10X2918,23X2539,4X2151,26X1798,8C153,19C1914,5C1489,21X2489,3C1209,18C1259,13C1199,15X2290,14X1169,24C1300,7C2298,16X3088,9X2348,25X1678,END","1X3239,15C1327,12C1548,22X2349,11X2047,20X2333,7C1224,15C1349,2C1574,21X2003,14C210,21C18,5X1389,17C728,11C928,24C209,3C427,16C118,4C40,23C334,1X576,25X1238,9C7,18X1088,2X269,22X98,10X279,19C847,8C1610,24X1707,8C368,16X1198,7C199,17C210,6C230,18C19,13X1701,26X2049,9X2950,25C1739,END",4.863,17.417,22.965,4,34,1,,,better,,,anonymized,,5393747
181,12/23/20 8:37,12/23/20 8:43,0,100,374,1,12/23/20 8:43,R_1LhxCtuat1GPPcB,anonymous,EN,0,0,7.477,0,,,,,,,,,,,,,,,,,,,,,,"26C1733,22C1340,17C872,19C630,17C688,16C904,15C1074,24C1119,25C791,18C784,19C1407,24X1761,26C2117,23X2673,21C1175,20C2050,15C1041,20C1180,21C1136,22C1168,END","10C2104,4C1159,9C861,6X1671,8C1158,5C1516,14C932,12X1995,11C1635,5X2165,1C1574,3C1199,13C1057,12C1697,7X2746,2X3166,7C1430,11X1671,14C1048,3C1314,END","14C1506,22C947,8X2163,16C1170,12X2119,17C1166,6X1405,25X2409,2X2433,15C1035,11X2658,19C960,5X1916,20C1057,3C1151,21C1232,13C1015,23X2716,4C1289,24C1465,END","10C1611,26X2371,11C1077,18C911,12X1710,23X2677,12C1272,23C1222,13C1078,15C1062,14C1050,18C1085,7C972,19C928,4X1515,15C1187,2C1789,16X1441,1X1454,20C889,8C767,25X1603,4X1480,22C222,5C893,20C818,9X1080,16C222,9X764,26X846,7C740,22C1663,3C1411,17C799,6X1360,24X1305,1C389,21C566,11X1733,21C938,END","24C1557,15C981,25C943,20C917,18C859,22C833,18C881,25C744,23C1109,16C789,18C837,18C722,20C788,23X2103,26C1334,21C763,16C668,17C818,25C935,26X1348,15X9214,17X2768,26C1906,19C1258,15C794,24C1662,23C3285,22C1738,22C652,16C807,15C850,19C712,21C887,19C759,20C961,23C1077,24X1622,17C1037,22C930,21C831,END","2C1120,19C1358,5C1766,25C1221,7C745,21X1913,4C734,26C972,9X2269,18C1276,6C2123,23C1117,12C928,16C941,13X1694,20X1123,14X1604,15C1587,8C1260,22C1307,END","5C1278,16C933,7X1876,20C804,11C1186,19C865,1C672,25X2844,14C336,20C199,7X912,15C1080,6C1059,25C809,13X1500,17C908,2C664,21X1355,3X1528,22C1449,13X940,15C682,3X1953,16C345,10X3272,18C795,10X1645,26C339,9C781,26C838,12C798,22C641,1X1560,19C593,8X1501,23C773,4C899,23C954,12X1735,24C426,END",3.111,15.243,19.251,3,50,2,,none,,,,anonymized,,4249754
182,12/23/20 8:38,12/23/20 8:44,0,100,322,1,12/23/20 8:44,R_3edU5mmQxRGJXI1,anonymous,EN,0,0,11.283,0,,,,,,,,,,,,,,,,,,,,,,"25C1057,26C1107,16C679,17C622,24C867,25C768,18C615,23C838,24C744,19C590,15C641,21C704,22C623,21C655,20C577,15X1379,26C671,17C615,18C619,19C707,END","13C1105,7C806,6X1570,6C956,8C1602,11X1948,9C1603,14C850,4C703,14X1197,9C960,2C903,5C793,11C785,3C996,12C826,1X1619,10C1082,4C899,3C809,END","12X2305,23X1714,11C1289,19C956,7C1322,21C992,5X1863,25C777,10C871,18C772,14X1554,17C1289,2C899,26X1470,3C1054,15C818,8C1199,24C770,1C952,20C1098,END","4C1085,22C765,9X1696,22C1302,8X1493,23X2367,14C1598,26C870,8C1208,21C862,4C928,19C896,11C1526,21C964,1X1769,24C1124,5C847,15C810,6X1834,15C837,2C801,20C867,3C1431,25X1480,10C1183,19C1082,12X1558,16C1542,14C976,23C1428,13C1260,17C1118,7C931,18C858,11C1029,25C858,7C1037,16C1029,2C1420,18C724,END","26C1053,15C615,24C721,17C564,16C736,20C598,24C640,22C760,23C1001,21C863,18C581,25C643,16C723,17C639,23C618,17C566,16C574,20C659,15C635,18X1301,15C658,26C594,20C666,24C619,18C558,21C711,22C415,19C639,21C1038,19C603,23C773,19C626,22C659,22C570,18C574,26C627,24C891,25C760,25C480,16X1079,END","11C2171,23C748,1C1123,20C651,3C948,26C667,10C671,15C622,4C928,21C843,8C923,17C570,13X1310,19X1083,7X1537,18C691,12C769,22C675,5C724,24C606,END","6X2126,25C907,13C948,21C656,10C728,21C667,5C708,16C732,4X1469,17C709,13X1175,23C951,7C773,24C773,14C984,15C912,8C717,22C646,9X1465,23C1049,2C744,25C707,11C856,20C679,1C711,15C655,2C598,20C956,9C692,18C704,12C676,17C652,7C941,22C684,11C989,26C786,5C1037,19C680,3C766,18C664,END",2.348,5.063,7.965,2,37,1,,,,,,anonymized,,867357
